"Story","Title","Result","Date","Stability","Duration (s)"
"Get User Information","Get User Information with token","SUCCESS","2022-11-03T14:10:36.0313743+07:00[Asia/Jakarta]","0.0","6.17"
"Get User Information","Get User Information without token","SUCCESS","2022-11-03T14:10:42.4431618+07:00[Asia/Jakarta]","0.0","1.81"
"Login","Login with username and password","SUCCESS","2022-11-03T14:10:35.8578334+07:00[Asia/Jakarta]","0.0","15.63"
"Register","Register with new data","SUCCESS","2022-11-03T14:10:36.0223933+07:00[Asia/Jakarta]","0.0","6.21"
"Register","Register","SUCCESS","2022-11-03T14:10:42.5020046+07:00[Asia/Jakarta]","0.0","7.25"
"Create Category","Create Category with filled form as registered user","SUCCESS","2022-11-03T14:10:35.9017157+07:00[Asia/Jakarta]","0.0","6.32"
"Create Category","Create Category with empty form as registered user","SUCCESS","2022-11-03T14:10:42.5817921+07:00[Asia/Jakarta]","0.0","2.29"
"Create Category","Create Category with empty form as anon user","SUCCESS","2022-11-03T14:10:46.8479389+07:00[Asia/Jakarta]","0.0","1.39"
"Get Category","Get All Categories","SUCCESS","2022-11-03T14:10:35.8787803+07:00[Asia/Jakarta]","0.0","6.34"
"Get Category","Get A Category","SUCCESS","2022-11-03T14:10:42.41424+07:00[Asia/Jakarta]","0.0","3.69"
"Hello","Hello","SUCCESS","2022-11-03T14:10:35.4160153+07:00[Asia/Jakarta]","0.0","6.78"
"Create Order","Create Order as registered user with filled form","SUCCESS","2022-11-03T14:10:35.8189386+07:00[Asia/Jakarta]","0.0","6.52"
"Create Order","Create Order as registered user with empty form","SUCCESS","2022-11-03T14:10:42.3534014+07:00[Asia/Jakarta]","0.0","1.98"
"Create Order","Create Order as anon user with filled form","SUCCESS","2022-11-03T14:10:44.3404186+07:00[Asia/Jakarta]","0.0","1.39"
"Create Order","Create Order as anon user with empty form","SUCCESS","2022-11-03T14:10:45.7368493+07:00[Asia/Jakarta]","0.0","1.84"
"Get Order","Get All Orders as registered user","SUCCESS","2022-11-03T14:10:35.7710653+07:00[Asia/Jakarta]","0.0","6.43"
"Get Order","Get All Orders as anon user","SUCCESS","2022-11-03T14:10:42.2795993+07:00[Asia/Jakarta]","0.0","2.3"
"Get Order","Get Orders as registered user","SUCCESS","2022-11-03T14:10:44.6364655+07:00[Asia/Jakarta]","0.0","3.32"
"Get Order","Get Orders as anon user","SUCCESS","2022-11-03T14:10:47.9620488+07:00[Asia/Jakarta]","0.0","3.52"
"Assign Product Rating","Assign Product Rating As Anon User","SUCCESS","2022-11-03T14:10:48.2737135+07:00[Asia/Jakarta]","0.0","7.32"
"Create New Product","Create New Product with filled form as registered user","SUCCESS","2022-11-03T14:10:35.8319032+07:00[Asia/Jakarta]","0.0","6.38"
"Create New Product","Create New Product with empty form as registered user","SUCCESS","2022-11-03T14:10:42.3075297+07:00[Asia/Jakarta]","0.0","2.28"
"Create New Product","Create New Product with filled form as anon user","SUCCESS","2022-11-03T14:10:44.6264949+07:00[Asia/Jakarta]","0.0","1.44"
"Create New Product","Create New Product with empty form as anon user","SUCCESS","2022-11-03T14:10:46.0739479+07:00[Asia/Jakarta]","0.0","1.87"
"Create Comment for Product","Create Product Comment with valid ID and filled form as registered user","SUCCESS","2022-11-03T14:10:35.9366226+07:00[Asia/Jakarta]","0.0","6.28"
"Create Comment for Product","Create Product Comment with valid ID and filled form as anon user","SUCCESS","2022-11-03T14:10:42.3913008+07:00[Asia/Jakarta]","0.0","2.18"
"Create Comment for Product","Create Product Comment with invalid ID and filled form as registered user","SUCCESS","2022-11-03T14:10:44.603554+07:00[Asia/Jakarta]","0.0","1.51"
"Create Comment for Product","Create Product Comment with invalid ID and filled form as anon user","SUCCESS","2022-11-03T14:10:46.1218228+07:00[Asia/Jakarta]","0.0","1.83"
"Create Comment for Product","Create Product Comment with valid ID and empty form as registered user","SUCCESS","2022-11-03T14:10:47.9740198+07:00[Asia/Jakarta]","0.0","1.73"
"Create Comment for Product","Create Product Comment with valid ID and empty form as anon user","SUCCESS","2022-11-03T14:10:49.7128558+07:00[Asia/Jakarta]","0.0","2.06"
"Create Comment for Product","Create Product Comment with invalid ID and empty form as registered user","SUCCESS","2022-11-03T14:10:51.7820138+07:00[Asia/Jakarta]","0.0","1.42"
"Create Comment for Product","Create Product Comment with invalid ID and empty form as anon user","SUCCESS","2022-11-03T14:10:53.2110466+07:00[Asia/Jakarta]","0.0","1.88"
"Delete Product","Delete Product with Valid ID","SUCCESS","2022-11-03T14:10:35.978511+07:00[Asia/Jakarta]","0.0","6.25"
"Delete Product","Delete Product with Invalid ID","SUCCESS","2022-11-03T14:10:42.3214883+07:00[Asia/Jakarta]","0.0","2.26"
"Get All Product","Get All Product","SUCCESS","2022-11-03T14:10:35.7910121+07:00[Asia/Jakarta]","0.0","6.77"
"Get A Product","Get A Product with Valid ID","SUCCESS","2022-11-03T14:10:35.9924731+07:00[Asia/Jakarta]","0.0","8.6"
"Get Product Comments","Get Product Comments with valid ID","SUCCESS","2022-11-03T14:10:35.951583+07:00[Asia/Jakarta]","0.0","5.46"
"Get Product Comments","Get Product Comments with invalid ID","SUCCESS","2022-11-03T14:10:41.4781071+07:00[Asia/Jakarta]","0.0","1.4"
"Get Product Ratings","Get Product Ratings","SUCCESS","2022-11-03T14:10:35.9206656+07:00[Asia/Jakarta]","0.0","8.35"
