"Story","Title","Result","Date","Stability","Duration (s)"
"Assign Product Rating","Assign Product Rating As Anon User","SUCCESS","2022-11-02T22:09:54.3327642+07:00[Asia/Jakarta]","0.0","11.37"
"Create New Product","Create New Product with filled form","SUCCESS","2022-11-02T22:09:34.1040026+07:00[Asia/Jakarta]","0.0","12.07"
"Create New Product","Create New Product with empty form","SUCCESS","2022-11-02T22:09:46.2803812+07:00[Asia/Jakarta]","0.0","2.03"
"Create Comment for Product","Create Product Comment with valid ID and filled form as registered user","SUCCESS","2022-11-02T22:09:34.0519668+07:00[Asia/Jakarta]","0.0","12.11"
"Create Comment for Product","Create Product Comment with valid ID and filled form as anon user","SUCCESS","2022-11-02T22:09:46.6662087+07:00[Asia/Jakarta]","0.0","2.04"
"Create Comment for Product","Create Product Comment with invalid ID and filled form","SUCCESS","2022-11-02T22:09:48.7491551+07:00[Asia/Jakarta]","0.0","4.21"
"Create Comment for Product","Create Product Comment with valid ID and empty form as registered user","SUCCESS","2022-11-02T22:09:52.966184+07:00[Asia/Jakarta]","0.0","2.97"
"Create Comment for Product","Create Product Comment with valid ID and empty form as anon user","SUCCESS","2022-11-02T22:09:55.9528867+07:00[Asia/Jakarta]","0.0","1.68"
"Delete Product","Delete Product with Valid ID","SUCCESS","2022-11-02T22:09:34.2185625+07:00[Asia/Jakarta]","0.0","11.9"
"Delete Product","Delete Product with Invalid ID","SUCCESS","2022-11-02T22:09:46.4047394+07:00[Asia/Jakarta]","0.0","2.22"
"Get All Product","Get All Product","SUCCESS","2022-11-02T22:09:34.0859949+07:00[Asia/Jakarta]","0.0","12.05"
"Get A Product","Get A Product with Valid ID","SUCCESS","2022-11-02T22:09:34.0700257+07:00[Asia/Jakarta]","0.0","14.32"
"Get Product Comments","Get Product Comments with valid ID","SUCCESS","2022-11-02T22:09:34.2737496+07:00[Asia/Jakarta]","0.0","9.98"
"Get Product Comments","Get Product Comments with invalid ID","SUCCESS","2022-11-02T22:09:44.2903958+07:00[Asia/Jakarta]","0.0","1.83"
"Get Product Ratings","Get Product Ratings","SUCCESS","2022-11-02T22:09:34.386411+07:00[Asia/Jakarta]","0.0","13.97"
