"Story","Title","Result","Date","Stability","Duration (s)"
"Get User Information","Get User Information with token","SUCCESS","2022-11-04T21:22:06.7622863+07:00[Asia/Jakarta]","0.0","8.64"
"Get User Information","Get User Information without token","SUCCESS","2022-11-04T21:22:15.4354524+07:00[Asia/Jakarta]","0.0","1.41"
"Login","Login with username and password","SUCCESS","2022-11-04T21:22:06.7892142+07:00[Asia/Jakarta]","0.0","15.62"
"Register","Register with new data","SUCCESS","2022-11-04T21:22:06.6505845+07:00[Asia/Jakarta]","0.0","8.56"
"Register","Register","SUCCESS","2022-11-04T21:22:15.2958275+07:00[Asia/Jakarta]","0.0","7.03"
"Create Category","Create Category with filled form as registered user","SUCCESS","2022-11-04T21:22:06.7403443+07:00[Asia/Jakarta]","0.0","8.44"
"Create Category","Create Category with empty form as registered user","SUCCESS","2022-11-04T21:22:15.2708912+07:00[Asia/Jakarta]","0.0","1.42"
"Create Category","Create Category with filled form as anon user","SUCCESS","2022-11-04T21:22:16.7000703+07:00[Asia/Jakarta]","0.0","1.37"
"Create Category","Create Category with empty form as anon user","SUCCESS","2022-11-04T21:22:18.0799251+07:00[Asia/Jakarta]","0.0","1.33"
"Get Category","Get All Categories","SUCCESS","2022-11-04T21:22:06.6785093+07:00[Asia/Jakarta]","0.0","8.77"
"Get Category","Get A Category","SUCCESS","2022-11-04T21:22:15.4773399+07:00[Asia/Jakarta]","0.0","3.0"
"Hello","Hello","SUCCESS","2022-11-04T21:22:06.4950102+07:00[Asia/Jakarta]","0.0","8.64"
"Create Order","Create Order as registered user with filled form","SUCCESS","2022-11-04T21:22:06.7104245+07:00[Asia/Jakarta]","0.0","8.9"
"Create Order","Create Order as registered user with empty form","SUCCESS","2022-11-04T21:22:15.6199587+07:00[Asia/Jakarta]","0.0","1.5"
"Create Order","Create Order as anon user with filled form","SUCCESS","2022-11-04T21:22:17.1628335+07:00[Asia/Jakarta]","0.0","1.34"
"Create Order","Create Order as anon user with empty form","SUCCESS","2022-11-04T21:22:18.5237398+07:00[Asia/Jakarta]","0.0","1.46"
"Get Order","Get All Orders as registered user","SUCCESS","2022-11-04T21:22:06.599721+07:00[Asia/Jakarta]","0.0","9.06"
"Get Order","Get All Orders as anon user","SUCCESS","2022-11-04T21:22:15.6608477+07:00[Asia/Jakarta]","0.0","1.38"
"Get Order","Get Orders as registered user","SUCCESS","2022-11-04T21:22:17.1229387+07:00[Asia/Jakarta]","0.0","2.88"
